PID,wslong,wslat,wsplace
9296, 116.556265, 39.930574, School 2293
11157, 116.327032, 39.764503, School 2207
2527, 116.440134, 39.975117, School 2423
18743, 116.4903054, 39.7348966, School 2485
11929, 116.297575, 39.959766, School 2137
12925, 116.297575, 39.959766, School 2137
16717, 116.619453, 39.878124, School 2400
540, 116.293386, 40.039047, School 2216
10490, 116.465838, 39.968655, School 2426
20321, 116.145259, 39.909844, School 2213
689, 116.297384, 39.696431, School 2418
20123, 116.2435, 39.955551, School 2138
4520, 116.371632, 39.648622, School 2445
12913, 116.514348, 39.828748, School 2429
11256, 117.1967164, 40.19544789, School 2484
9053, 116.312117, 40.143218, School 2376
13998, 116.343262, 39.819683, School 2397
728, 116.371211, 39.994342, School 2428
19998, 116.400099, 40.039447, School 2452
10299, 116.275406, 40.019793, School 2394
8107, 116.440134, 39.975117, School 2423
20607, 116.148963, 40.037847, School 2225
11377, 116.405677, 40.050626, School 2407
9734, 116.533382, 39.820292, School 2385
10075, 116.209593, 40.036417, School 2132
12531, 115.915969, 39.68819, School 2403
4765, 116.266825, 40.07761, School 2377
10659, 116.378843, 40.044872, School 2233
10478, 116.6456495, 39.90303982, School 2480
16431, 116.613713, 40.049541, School 2438
11290, 116.586392, 40.076391, School 2168
4284, 116.514567, 39.9009, School 2012
7672, 116.400099, 40.039447, School 2452
18067, 116.440134, 39.975117, School 2423
3205, 116.152208, 39.766246, School 2413
14757, 116.145259, 39.909844, School 2213
20655, 116.269611, 39.917743, School 2433
14921, 116.546304, 39.8024, School 2136
4879, 116.13769, 39.988623, School 2432
21177, 116.324105, 39.949082, School 2436
2629, 116.149021, 40.093347, School 2378
12119, 116.346202, 39.850193, School 2270
18395, 116.323892, 40.09018, School 2133
788, 116.33737, 39.930948, School 2420
10886, 116.2360984, 40.19778993, School 2483
12635, 116.377682, 40.229225, School 2148
9690, 117.1967164, 40.19544789, School 2484
19007, 116.337402, 40.01587, School 2238
11881, 116.469794, 39.847552, School 2209
10976, 116.587954, 39.911811, School 2380
8515, 116.258201, 39.873238, School 2155
7966, 116.61018, 39.985131, School 2386
16603, 116.591774, 39.901823, School 2169
12337, 116.356831, 39.475458, School 2402
5029, 116.385812, 40.016049, School 2283
8963, 116.348293, 39.857003, School 2359
17192, 116.322579, 40.031132, School 2245
3094, 116.406624, 39.989405, School 2409
11641, 116.024882, 40.185789, School 2395
593, 116.378843, 40.044872, School 2233
15323, 116.312117, 40.143218, School 2376
2521, 116.284123, 40.094823, School 2417
4933, 116.636806, 39.984041, School 2440
10599, 116.374651, 39.747981, School 2398
995, 116.093521, 39.864189, School 2182
20694, 116.651208, 39.746501, School 2249
16567, 116.319913, 40.1265, School 2379
11422, 116.372437, 39.814476, School 2411
12195, 116.241645, 39.893496, School 2388
833, 116.53162, 39.951382, School 2364
21228, 116.165124, 39.775385, School 2259
4937, 116.819798, 40.297053, School 2090
5178, 116.605908, 40.095158, School 2404
1016, 116.328647, 39.860125, School 2408
11249, 116.748261, 40.66966, School 2361
19115, 116.389548, 39.631017, School 2183
14291, 116.214472, 40.023979, School 1991
21057, 116.329813, 39.792398, School 2159
11653, 116.406624, 39.989405, School 2409
9398, 116.319913, 40.1265, School 2379
14059, 116.242654, 40.000578, School 2406
9173, 116.79576, 40.048342, School 2069
18267, 116.389548, 39.631017, School 2183
9590, 116.535394, 40.610496, School 2451
11813, 116.767911, 40.24247, School 2021
8890, 116.635916, 39.794896, School 2298
11491, 116.533382, 39.820292, School 2385
8662, 116.267445, 39.965621, School 2352
7843, 116.2934201, 39.87450578, School 2486
4751, 116.402658, 40.123808, School 1977
4294, 116.2934201, 39.87450578, School 2486
12657, 116.675235, 39.889969, School 2405
2779, 116.5894658, 39.86715877, School 2479
1559, 116.425939, 39.828509, School 2383
14010, 116.371211, 39.994342, School 2428
9302, 116.284123, 40.094823, School 2417
5087, 116.47318, 39.882122, School 2113
12033, 116.386827, 40.261791, School 2043
12733, 116.440134, 39.975117, School 2423
7714, 116.13865, 40.157696, School 2442
16353, 116.587954, 39.911811, School 2380
16329, 116.405677, 40.050626, School 2407
14159, 116.298968, 39.94681, School 2231
16446, 116.337402, 40.01587, School 2238
126, 116.348293, 39.857003, School 2359
11060, 116.269611, 39.917743, School 2433
2842, 116.39461, 39.918165, School 2255
8875, 116.415956, 39.843945, School 2176
11787, 116.378843, 40.044872, School 2233
1463, 116.147128, 40.202708, School 2232
8503, 116.324105, 39.949082, School 2436
11303, 116.605908, 40.095158, School 2404
10054, 116.35961, 39.947675, School 2177
10071, 116.405677, 40.050626, School 2407
21210, 116.269611, 39.917743, School 2433
9958, 116.619453, 39.878124, School 2400
20688, 116.152208, 39.766246, School 2413
9794, 116.13769, 39.988623, School 2432
21017, 116.372437, 39.814476, School 2411
2275, 116.203171, 40.153827, School 2374
14946, 116.622115, 40.25723, School 2083
10550, 116.610664, 39.910163, School 2444
347, 116.3513, 39.965885, School 2367
7696, 116.488036, 39.960696, School 2328
12463, 116.323892, 40.09018, School 2133
8485, 116.383985, 40.051771, School 2173
11374, 116.129847, 40.116835, School 2260
541, 116.593151, 39.956247, School 2212
19359, 116.535394, 40.610496, School 2451
18603, 116.248557, 39.742347, School 2160
9095, 116.245844, 40.035244, School 2415
12719, 116.303181, 40.044044, School 2446
7741, 116.156295, 39.921174, School 2121
16934, 116.343262, 39.819683, School 2397
19884, 116.383985, 40.051771, School 2173
17243, 116.273822, 39.765098, School 2449
10074, 116.206829, 39.946787, School 2154
3031, 117.064761, 40.181869, School 2230
21009, 116.596789, 39.993651, School 2356
1103, 116.298843, 39.802632, School 1993
10290, 115.952426, 39.657673, School 2202
4829, 116.369454, 40.220416, School 2424
8017, 116.121831, 39.675851, School 2266
9895, 116.305952, 39.856704, School 2175
1387, 117.064761, 40.181869, School 2230
9563, 116.514348, 39.828748, School 2429
9720, 116.343262, 39.819683, School 2397
10371, 116.374651, 39.747981, School 2398
15239, 116.356831, 39.475458, School 2402
11309, 116.535394, 40.610496, School 2451
8383, 116.363244, 39.812548, School 2064
1558, 116.4903054, 39.7348966, School 2485
45, 116.324105, 39.949082, School 2436
9771, 116.394888, 39.711732, School 2146
