OID_1,Capacity,lat,long,Price
2,1,22.63004164000,113.96862620000,897291
4,1,22.74227468000,113.85287830000,762951
6,1,22.62855560000,114.43313700000,1056992
8,1,22.71030324000,114.06693110000,664104
17,1,22.49485632000,114.54100210000,1216584
25,1,22.58270328000,113.95725900000,1213902
35,1,22.61164311000,114.34493520000,1306445
37,1,22.53158021000,114.50960380000,730580
38,1,22.71669352000,114.24751270000,559776
44,1,22.69469437000,113.92286960000,999870
55,1,22.60150689000,114.30663610000,1276382
56,1,22.72458829000,114.03056000000,1270308
60,1,22.65033074000,114.51356690000,1242504
72,1,22.68512797000,114.28108140000,541755
79,1,22.74822005000,114.21321520000,719739
80,1,22.70813761000,114.34920440000,728156
81,1,22.57210000000,114.48780430000,805322
108,1,22.74964726000,114.40597280000,948752
117,1,22.66952477000,114.34636560000,643416
121,1,22.74332592000,114.24723980000,1326780
133,1,22.60197128000,114.16079520000,957174
137,1,22.78347339000,113.86329160000,773025
139,1,22.68777839000,114.35382810000,677160
142,1,22.78336177000,113.82625620000,951345
143,1,22.75703773000,113.94507280000,459285
147,1,22.65634810000,114.15282940000,1270758
150,1,22.76447929000,113.91066410000,711900
151,1,22.54628175000,113.89186650000,512415
156,1,22.79799438000,114.33001580000,1171368
157,1,22.64134132000,114.22592480000,889840
170,1,22.65086843000,114.03874360000,620840
177,1,22.67131472000,113.76458460000,1263920
178,1,22.73071888000,114.01358800000,869538
181,1,22.74123688000,113.93705250000,601216
184,1,22.71817642000,113.84540370000,1250486
188,1,22.69343354000,114.40117990000,573553
194,1,22.80163876000,113.83333300000,846653
196,1,22.47161056000,113.89422230000,1133028
198,1,22.70959186000,113.83476270000,705820
207,1,22.66483024000,113.86474220000,1159690
214,1,22.69314260000,114.00224440000,881322
218,1,22.69449135000,114.05153480000,1292616
219,1,22.72903088000,114.23389610000,495840
230,1,22.59221230000,113.92874520000,809358
233,1,22.79706448000,113.88308570000,1062330
241,1,22.77520683000,114.40510740000,618146
244,1,22.63621566000,114.02716270000,1178568
249,1,22.58892502000,114.29148180000,1226448
255,1,22.70908286000,114.23512960000,934177
261,1,22.69627422000,114.34244920000,1075375
263,1,22.66784704000,114.12492630000,1162035
272,1,22.80842361000,113.87092780000,1253875
280,1,22.75600408000,114.38902360000,1367960
281,1,22.63301435000,114.12602180000,713868
282,1,22.69911255000,114.11438590000,1196580
283,1,22.74934921000,113.90357350000,741048
285,1,22.63560027000,114.06511310000,528003
286,1,22.70672768000,114.03997780000,732292
287,1,22.70474565000,114.36486280000,801780
297,1,22.67930859000,113.77883050000,863664
298,1,22.64339303000,114.21130130000,1133160
304,1,22.72266366000,114.27740860000,1180641
305,1,22.74994740000,114.26882220000,884225
314,1,22.62132675000,113.85405670000,923886
347,1,22.60025679000,114.17689580000,561366
353,1,22.58454823000,114.07706940000,686994
355,1,22.78896473000,114.32672930000,721424
359,1,22.64049539000,113.91795210000,1045568
360,1,22.52547572000,114.48658190000,966450
364,1,22.65124861000,114.20659740000,1233543
372,1,22.69908167000,114.22767350000,974142
385,1,22.75180357000,113.93100810000,1144225
387,1,22.53713707000,114.49589430000,1264834
391,1,22.70703794000,113.78223540000,1050420
392,1,22.63225643000,113.86298060000,924600
395,1,22.67235182000,113.92184660000,1104840
418,1,22.78087983000,113.81308110000,1142508
427,1,22.64686208000,114.15614880000,700060
434,1,22.66377330000,113.98877250000,834948
440,1,22.69560480000,113.99374080000,567088
456,1,22.78145630000,113.91420890000,672804
460,1,22.59012776000,113.88919210000,634095
472,1,22.73805887000,114.28906180000,1001824
478,1,22.73062758000,114.30515190000,1000355
480,1,22.65497428000,114.24205520000,1062768
483,1,22.73364824000,114.04913430000,1315980
503,1,22.66249030000,113.91866950000,1110708
507,1,22.71088623000,114.11163170000,834526
512,1,22.53714623000,113.93704250000,680560
527,1,22.65012515000,114.09991560000,946770
537,1,22.54983022000,113.97058890000,1222122
540,1,22.68971649000,114.30791170000,590850
541,1,22.76453241000,114.40544040000,1249500
547,1,22.75419266000,113.82069710000,600300
556,1,22.63180182000,114.03012390000,740240
557,1,22.56843849000,114.49817040000,1167740
560,1,22.51559960000,113.90902280000,1121910
564,1,22.75156799000,114.39679880000,828161
575,1,22.60277412000,114.31980280000,738438
583,1,22.56717642000,113.94890890000,1296240
590,1,22.58441702000,113.86580540000,1113365
594,1,22.75739522000,113.78864660000,1378102
606,1,22.56778933000,114.02524610000,1023876
611,1,22.66877246000,114.01963400000,500235
616,1,22.68410389000,114.00957280000,1290600
629,1,22.81945596000,113.88211790000,651400
636,1,22.76604231000,114.36604990000,750435
644,1,22.62765762000,114.06436810000,652140
649,1,22.66415043000,114.03710860000,849555
658,1,22.57413413000,113.96087530000,670640
663,1,22.75932862000,113.90153600000,555305
672,1,22.74486627000,114.27558430000,790377
678,1,22.63855059000,114.41425070000,935226
680,1,22.73397813000,114.25082910000,697038
681,1,22.70779894000,113.89829540000,1266405
684,1,22.75277193000,114.04538130000,559425
691,1,22.78563924000,114.33339450000,1085180
694,1,22.65662947000,114.20081660000,951635
695,1,22.61523669000,114.13822910000,1289074
705,1,22.68750576000,113.99539410000,941868
707,1,22.67193019000,114.12888020000,1163021
710,1,22.52638482000,114.06268780000,1411720
711,1,22.76063276000,113.92193190000,1357360
716,1,22.62846360000,114.42454960000,905788
718,1,22.68319431000,113.94917800000,1333600
720,1,22.72462440000,113.78319020000,944460
727,1,22.59653042000,113.87902270000,1420160
730,1,22.70860227000,114.12161010000,1200992
735,1,22.69894134000,114.23471280000,527328
738,1,22.56666808000,114.05475540000,831303
740,1,22.65806421000,114.04086150000,1241424
745,1,22.74194233000,113.84640760000,521504
747,1,22.63716316000,114.04184530000,529536
750,1,22.50407615000,113.88352780000,1248786
753,1,22.57712159000,114.06222290000,704007
755,1,22.64129845000,114.21778220000,718842
761,1,22.58145324000,113.89063310000,814088
763,1,22.69358232000,113.91739490000,680181
769,1,22.68740120000,114.05491540000,623580
