FID_,Capacity,Age,long,lat,Location
51,9,6,114.19447480000,22.64336237000,29
985,15,6,114.19562920000,22.64852520000,29
1906,7,7,114.19721220000,22.64404955000,29
729,1,7,113.90663910000,22.48753100000,30
647,1,7,114.06445720000,22.65490436000,31
803,3,7,114.05954100000,22.65418629000,31
1736,3,4,114.00974360000,22.54087223000,32
1270,1,6,114.01447910000,22.54268530000,32
593,4,6,114.01293400000,22.53951197000,32
1859,1,5,113.89508650000,22.71774923000,33
1215,3,6,113.89336030000,22.71360614000,33
405,1,9,113.89640560000,22.71527897000,33
978,1,2,114.00209810000,22.67241295000,34
1243,1,6,114.34493520000,22.61164311000,35
268,1,5,114.18319310000,22.55817396000,36
966,1,7,114.17844240000,22.56154605000,36
285,1,8,114.50960380000,22.53158021000,37
1751,1,2,114.24751270000,22.71669352000,38
1176,4,5,113.91873090000,22.57620516000,39
597,9,5,113.91767200000,22.58072666000,39
178,16,5,113.91720830000,22.57816238000,39
1461,6,6,113.91952460000,22.57655733000,39
414,7,6,113.91865480000,22.57838599000,39
758,16,6,113.92029730000,22.57806338000,39
1777,1,6,114.31415390000,22.68651171000,40
1544,1,7,114.31729930000,22.68549301000,40
1732,4,6,113.84601980000,22.63041229000,41
1477,3,4,114.04047760000,22.52785478000,42
52,3,6,114.03771220000,22.52977996000,42
1089,3,6,114.03925940000,22.53215931000,42
347,9,6,114.04250220000,22.53029925000,42
155,1,3,113.80869980000,22.76195894000,43
1536,1,3,113.80485080000,22.76355056000,43
148,1,2,113.92286960000,22.69469437000,44
183,6,5,114.14230710000,22.63011280000,45
1481,6,5,114.09237870000,22.56380177000,46
1529,4,6,114.09142400000,22.56486471000,46
234,6,6,114.09242470000,22.56487066000,46
25,7,6,114.09138630000,22.56098107000,46
1291,12,7,114.09099780000,22.56365386000,46
1346,4,5,114.22031980000,22.55590944000,47
926,7,6,114.22216980000,22.55339424000,47
57,9,6,114.22110310000,22.55441025000,47
1223,4,7,114.22407150000,22.55664951000,47
1212,1,4,114.03750510000,22.69082435000,48
1114,3,7,114.03613620000,22.69598727000,48
755,10,5,113.99230930000,22.58984621000,49
1398,1,6,113.98980680000,22.58788505000,49
788,1,6,113.98818770000,22.58962973000,49
461,1,7,113.98722820000,22.58805382000,49
690,1,5,114.10160380000,22.53736933000,50
1192,3,5,114.10715370000,22.53510613000,50
1725,1,6,114.10433680000,22.53934837000,50
1770,4,5,114.03207860000,22.56121934000,51
1445,7,5,114.03047760000,22.56408509000,51
693,6,6,114.02918820000,22.56365841000,51
1412,1,8,114.03538620000,22.56391804000,51
1148,12,4,113.86610290000,22.75930169000,52
802,4,5,113.86836510000,22.76185050000,52
1819,7,5,113.86853050000,22.76038515000,52
2001,9,5,113.86993220000,22.75894113000,52
137,15,5,113.86498850000,22.76071391000,52
1505,6,7,113.86613600000,22.75762726000,52
836,6,5,113.88936610000,22.56125390000,53
1403,6,5,113.88794130000,22.56616194000,53
437,7,5,113.88731870000,22.56329595000,53
543,3,6,113.89167330000,22.56318337000,53
1615,7,6,113.88885740000,22.56397148000,53
226,9,6,113.89090330000,22.56732179000,53
1978,1,6,114.46727760000,22.59444856000,54
410,1,8,114.30663610000,22.60150689000,55
745,1,5,114.03056000000,22.72458829000,56
960,6,4,114.37123830000,22.74697943000,57
1982,6,4,114.36719410000,22.74943715000,57
619,4,6,114.36586240000,22.74571587000,57
38,7,6,114.37018310000,22.74567194000,57
462,7,7,114.36890720000,22.74352798000,57
517,1,11,113.92051070000,22.61736685000,58
280,1,3,113.94394910000,22.77869306000,59
721,6,5,113.94430980000,22.77516949000,59
1379,6,5,113.93976400000,22.77609505000,59
1467,1,9,114.51356690000,22.65033074000,60
1690,1,5,114.05733830000,22.60473730000,61
443,3,5,114.05589770000,22.60478461000,61
1504,3,5,114.05259230000,22.60674795000,61
444,1,6,114.05322850000,22.60757971000,61
1283,3,6,114.05342940000,22.60426885000,61
1619,3,6,114.05442420000,22.60688976000,61
856,4,6,114.05458710000,22.60557067000,61
1248,4,6,114.05423160000,22.60394251000,61
1754,7,6,114.05640910000,22.60671849000,61
56,4,7,114.05250150000,22.60472641000,61
763,7,5,113.93664850000,22.52943032000,62
351,3,6,113.93901170000,22.52777217000,62
1122,4,6,113.94030090000,22.53059064000,62
980,4,7,113.93847620000,22.53002104000,62
426,12,6,114.32928120000,22.68364859000,63
1472,1,4,114.09296660000,22.72529894000,64
519,1,6,114.08991670000,22.72328772000,64
113,1,4,114.12185270000,22.67637751000,65
1912,1,5,114.12145120000,22.67192807000,65
1826,7,5,114.04902290000,22.63510087000,66
90,16,5,114.04832100000,22.63249069000,66
314,10,6,114.04701770000,22.63423293000,66
1355,7,7,114.05028920000,22.63525645000,66
1885,1,9,114.05298990000,22.63596044000,66
1408,3,5,114.22193010000,22.66886258000,67
592,6,5,114.22386600000,22.66912309000,67
752,3,5,113.82768750000,22.72981511000,68
1984,1,8,113.83160000000,22.72966948000,68
338,4,8,113.83177240000,22.73144130000,68
1734,1,6,114.01834490000,22.63864120000,69
481,1,7,114.01834150000,22.64408518000,69
1416,1,4,114.27901390000,22.73232303000,70
242,4,6,114.28159790000,22.73262874000,70
630,6,6,113.89312780000,22.78134163000,71
1216,4,7,113.89174360000,22.77963792000,71
1218,4,7,113.88952530000,22.78108983000,71
829,1,6,114.28108140000,22.68512797000,72
206,1,4,113.79612250000,22.72937009000,73
1084,9,5,113.79935140000,22.72734098000,73
1795,4,6,113.79774350000,22.72825905000,73
760,1,5,114.21180530000,22.61087320000,74
373,1,7,114.21474890000,22.60859385000,74
1484,4,7,114.21756770000,22.61148133000,74
670,15,7,114.21549410000,22.61168118000,74
1867,1,4,114.01254660000,22.74553954000,75
451,1,8,114.00849850000,22.74367900000,75
535,1,5,114.26528910000,22.57777992000,76
1840,1,7,114.26977750000,22.58160977000,76
78,1,4,113.92628570000,22.48722790000,77
1383,3,6,113.92826010000,22.48921725000,77
180,3,5,113.83809790000,22.76558553000,78
668,9,5,113.84053330000,22.76456821000,78
1469,7,6,113.84080590000,22.76551139000,78
1645,1,12,114.21321520000,22.74822005000,79
476,1,6,114.34920440000,22.70813761000,80
739,1,8,114.48780430000,22.57210000000,81
822,3,5,114.10800450000,22.61812467000,82
1025,7,5,114.10245630000,22.62058341000,82
429,12,6,114.10482020000,22.61880776000,82
1651,1,6,114.02826000000,22.65797554000,83
1961,3,6,114.02170310000,22.65671931000,83
1126,4,6,114.02230450000,22.66036590000,83
35,10,6,114.02342810000,22.65964599000,83
1009,13,6,114.02615430000,22.65847295000,83
554,3,7,114.02505080000,22.65583642000,83
679,12,5,114.13829220000,22.57066054000,84
1773,1,6,114.14256560000,22.57061046000,84
1941,1,5,113.92493900000,22.51239945000,85
671,1,6,113.92457740000,22.50906397000,85
939,4,7,113.92700900000,22.50671288000,85
743,1,6,113.79044930000,22.70026312000,86
1354,1,7,113.99373530000,22.54944389000,87
1722,7,4,113.86499220000,22.79720284000,88
284,13,4,113.86831770000,22.79760060000,88
1515,1,5,113.88483900000,22.81101354000,89
686,1,8,113.88730480000,22.81429851000,89
1564,1,5,114.13577870000,22.61047964000,90
539,6,5,114.13962390000,22.60854092000,90
1591,9,5,114.13862470000,22.60631366000,90
883,3,6,114.13785180000,22.60627945000,90
176,16,6,114.13608760000,22.60681965000,90
1624,1,4,114.13549180000,22.55227385000,91
1852,3,5,114.13892180000,22.55268013000,91
70,3,6,114.13770410000,22.55089735000,91
320,1,7,113.97149880000,22.56507940000,92
975,7,6,113.93996420000,22.72081946000,93
207,15,7,113.93892450000,22.72183910000,93
1406,1,4,114.10821150000,22.57611145000,94
84,1,6,114.11090970000,22.57199474000,94
