ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Cooking_fre,Bread_machine
71,0,2,3,7,1,1,0,0,1,0,1,0
72,0,3,4,9,2,1,0,0,2,0,2,0
73,1,3,7,7,2,1,0,0,4,0,1,0
74,1,3,2,9,1,2,0,0,1,0,3,0
75,0,3,7,9,2,4,1,1,4,1,5,0
76,1,3,5,7,2,1,0,0,2,1,2,0
77,0,4,7,9,2,3,1,0,7,1,4,1
78,0,3,2,9,1,1,0,0,1,0,3,0
79,0,3,1,9,1,1,0,0,1,0,1,0
80,1,3,2,9,1,1,0,0,1,0,5,0
81,0,3,6,9,2,4,0,1,4,0,3,0
82,1,2,1,9,1,1,0,0,1,0,3,0
84,1,2,4,7,2,1,0,0,1,0,2,0
85,1,2,7,9,1,5,0,1,7,1,3,1
86,1,2,7,9,2,2,0,0,4,0,4,0
87,0,2,7,9,2,3,0,0,6,1,2,0
88,0,3,6,9,2,6,2,2,5,1,5,0
89,1,3,1,9,1,1,0,0,1,0,3,0
90,0,4,6,7,2,2,1,0,4,0,3,1
91,0,3,6,9,2,3,0,1,2,0,3,0
92,0,2,1,7,1,4,1,0,5,1,4,1
93,0,3,6,9,2,1,0,0,2,0,3,0
94,0,3,5,9,2,1,0,0,2,0,2,0
95,1,3,1,9,1,3,0,0,7,1,3,0
96,0,3,2,9,1,1,0,0,1,0,1,0
98,0,5,7,9,2,3,1,0,6,0,3,1
99,0,2,1,9,1,1,0,0,1,0,2,0
101,0,3,7,9,2,2,0,0,4,0,3,0
102,1,3,6,9,2,1,0,0,2,0,4,0
103,0,3,3,9,2,1,0,0,1,0,3,0
104,0,2,5,7,2,2,0,0,3,0,3,0
105,0,5,4,9,4,2,0,2,4,0,3,0
106,1,4,7,9,2,3,1,2,4,1,4,0
107,0,3,1,9,1,3,0,1,4,1,1,0
108,1,2,3,9,1,1,0,0,1,0,1,0
109,0,2,2,9,1,1,0,0,1,0,1,0
110,0,3,1,9,1,1,0,0,1,0,1,0
111,1,4,7,7,2,1,0,0,3,0,1,0
112,1,3,5,7,2,2,0,0,3,0,4,0
113,1,3,7,9,2,1,0,1,5,0,1,0
114,0,3,7,7,2,3,0,1,3,0,4,1
115,0,3,6,9,2,1,1,2,3,0,4,0
116,0,3,6,7,2,1,0,0,1,0,2,0
117,0,3,1,9,1,3,0,0,4,1,5,0
120,1,2,3,9,2,3,0,0,3,0,3,0
121,1,2,4,7,2,3,0,0,2,1,5,0
122,1,2,1,9,1,3,0,0,2,1,1,0
123,1,2,1,9,1,1,0,0,1,0,1,0
124,0,3,1,7,2,1,1,1,1,0,4,0
125,0,2,1,7,1,1,0,0,1,0,1,0
126,1,3,7,9,2,4,1,2,5,1,4,0
127,1,4,6,9,2,5,1,2,4,1,5,1
128,0,3,7,9,2,5,1,2,5,1,5,1
129,1,3,7,9,2,1,0,0,3,0,3,0
130,1,3,3,9,1,1,0,0,1,0,1,0
131,1,3,3,9,2,1,0,0,2,0,3,0
132,1,2,7,9,2,3,0,0,3,1,2,0
133,1,2,1,7,1,3,0,0,1,1,5,0
134,0,2,1,7,1,1,0,0,1,0,1,0
135,0,2,1,9,1,1,0,0,1,0,2,0
136,0,2,6,7,2,1,0,0,3,0,2,0
137,1,2,2,9,1,6,0,1,1,0,5,0
138,1,2,3,9,1,1,0,0,1,0,1,0
139,1,2,5,7,2,1,0,0,2,0,1,0
140,1,3,4,5,2,3,0,0,3,1,3,0
141,1,3,4,5,2,3,0,0,2,1,3,0
142,1,2,1,7,1,3,1,0,2,0,4,0
143,1,3,6,9,2,1,0,0,4,0,3,0
145,1,2,2,7,1,1,0,0,1,0,1,0
147,1,3,5,5,2,3,0,0,2,1,2,0
149,1,3,3,7,2,3,1,0,3,1,4,0
151,0,2,4,6,2,1,0,0,2,0,2,0
152,1,3,7,7,2,3,0,1,5,0,4,0
153,1,3,6,9,2,2,0,0,3,1,4,0
155,0,3,6,6,2,3,1,0,2,1,2,0
156,1,3,3,7,2,3,1,0,3,0,5,1
160,1,2,4,7,2,1,1,0,1,0,4,0
161,1,3,6,7,2,2,0,0,3,0,3,1
164,1,2,1,7,1,1,0,0,1,0,1,0
166,1,3,3,6,4,2,0,1,2,1,3,0
167,1,3,6,7,2,5,1,2,3,1,4,1
168,0,2,2,7,1,1,0,0,1,0,1,0
169,0,3,3,3,2,5,1,2,2,1,3,0
170,1,4,7,5,2,5,1,2,4,1,3,1
172,0,3,6,6,2,4,1,2,6,1,4,1
173,0,3,5,7,2,3,1,0,4,1,4,1
176,1,2,1,6,2,1,0,0,1,0,1,0
178,1,4,5,7,2,5,0,2,4,1,4,1
179,0,3,1,5,4,2,0,0,4,1,3,0
182,0,3,6,7,2,3,1,1,6,1,5,1
184,1,2,1,7,1,3,0,0,3,0,1,0
185,1,3,4,7,2,3,1,0,4,0,5,0
187,0,2,1,7,1,3,0,0,3,1,3,0
190,0,2,7,6,4,1,0,0,2,0,2,0
193,0,3,6,7,2,1,0,0,2,0,3,1
200,0,3,3,5,2,1,1,0,1,0,3,0
202,1,2,1,7,1,1,0,0,1,0,1,1
203,0,5,7,9,2,3,0,0,5,1,3,0
206,0,3,5,7,2,2,0,0,3,0,3,0
208,0,3,3,5,2,5,1,2,2,1,4,0
211,0,3,7,7,2,3,1,0,7,1,4,0
