PID,Yearly_electricity,Certainty,District
12518, 2718.117100000001, 0.4, 10
16895, 2103.6700000000005, 0.4, 10
15119, 3273.754818181819, 0.4, 8
7215, 2713.4426000000008, 0, 9
21064, 3067.378545454546, 0.2, 4
1822, 2713.4426000000008, 0.4, 3
6732, 2729.0629000000004, 0.4, 8
1097, 2511.6004000000007, 0.2, 3
19744, 2103.6700000000005, 0, 7
12619, 4016.397386363637, 0.2, 4
17589, 2655.9928750000004, 0, 3
11456, 2103.6700000000005, 0.2, 7
1446, 2121.6700000000005, 0.4, 8
13688, 2330.7216000000003, 0.4, 12
5958, 2729.0629000000004, 0.4, 6
9483, 2704.7467, 0.2, 11
14387, 3745.198181818182, 0.6, 11
221, 3214.997272727273, 0, 6
20332, 2713.4426000000008, 0, 11
8298, 2109.6700000000005, 0, 6
4345, 3239.339090909091, 0.2, 1
2625, 2691.2899, 0.4, 3
21329, 2718.117100000001, 0.4, 3
13234, 2723.3929000000003, 0.2, 16
9115, 2109.6700000000005, 0.2, 11
15740, 2103.6700000000005, 0.4, 3
12742, 2718.117100000001, 0.4, 12
4640, 2103.6700000000005, 0, 15
14904, 3268.710727272728, 0.6, 14
12967, 2626.3093375000003, 0.4, 12
4082, 3295.1020000000003, 0.6, 6
18997, 2103.6700000000005, 0, 6
6437, 2713.4426000000008, 0.2, 3
2204, 2576.3587375, 0.2, 1
12051, 2626.3093375000003, 0.2, 6
7291, 2713.4426000000008, 0.2, 14
11986, 2718.117100000001, 0, 10
5795, 2649.5568000000007, 0.2, 6
17497, 2655.9928750000004, 0.4, 6
17846, 2729.0629000000004, 0.6, 8
6255, 2770.4072, 0.4, 13
99, 3745.198181818182, 0.4, 11
5598, 2649.5568000000007, 0.2, 11
20353, 2674.989400000001, 0.2, 4
5018, 3600.148000000001, 0.2, 12
1490, 2483.9100000000003, 0, 12
5676, 2649.5568000000007, 0.2, 9
11026, 2103.6700000000005, 0.4, 12
16673, 2755.5896000000007, 0.6, 11
19149, 3431.848081818182, 0.6, 12
10301, 2866.2748000000006, 0.4, 10
18856, 2604.0577000000008, 0.2, 9
3275, 2649.5568000000007, 0.6, 6
20608, 2103.6700000000005, 0.4, 7
17572, 2743.7017, 0.6, 2
14960, 3411.336363636364, 0.4, 13
720, 2694.6919000000003, 0, 4
10898, 3293.727454545455, 0.2, 9
20620, 2103.6700000000005, 0.2, 3
17920, 2103.6700000000005, 0, 11
8526, 2109.6700000000005, 0.6, 10
815, 2837.6156000000005, 0.4, 4
13495, 2662.922900000001, 0.4, 5
5296, 2654.690400000001, 0, 15
3501, 2566.1658250000005, 0.4, 5
17437, 2655.9928750000004, 0, 5
6431, 2713.4426000000008, 0.2, 7
17504, 2718.117100000001, 0, 6
13416, 2662.922900000001, 0, 6
5781, 2649.5568000000007, 0.4, 8
1339, 3745.198181818182, 0.4, 11
6008, 2729.0629000000004, 0, 3
3550, 2713.4426000000008, 0.2, 11
18315, 2820.4377400000008, 0.6, 4
16693, 2109.6700000000005, 0.2, 4
5305, 2649.5568000000007, 0.4, 11
7967, 2694.6919000000003, 0.4, 6
6117, 2713.4426000000008, 0.4, 4
18639, 3460.694672727273, 0.4, 10
14389, 3745.198181818182, 0, 16
13360, 2662.922900000001, 0.2, 3
20730, 2662.922900000001, 0.4, 1
89, 3745.198181818182, 0.2, 11
18807, 2982.415763636364, 0.4, 4
10861, 2636.305750000001, 0, 3
11532, 2642.922900000001, 0.2, 11
9844, 3493.671636363637, 0, 3
5352, 2649.5568000000007, 0.4, 4
17646, 2642.922900000001, 0.2, 3
1534, 2484.898675000001, 0.2, 4
18037, 2636.305750000001, 0.2, 12
16854, 3548.1901818181823, 0.4, 7
20746, 2723.3929000000003, 0.2, 12
12, 2794.523600000001, 0.6, 8
20785, 2662.922900000001, 0.4, 12
3054, 2652.1291000000006, 0.6, 14
6237, 2713.4426000000008, 0.4, 16
16917, 2103.6700000000005, 0, 8
7523, 2702.5660000000003, 0.2, 3
8070, 2109.6700000000005, 0.2, 9
10217, 2866.2748000000006, 0.4, 5
11800, 2718.117100000001, 0.2, 7
11740, 2729.0629000000004, 0.6, 9
6542, 2729.0629000000004, 0.2, 6
21813, 2662.922900000001, 0.4, 10
16229, 2266.5540000000005, 0.2, 15
7096, 2729.0629000000004, 0.2, 8
5551, 2649.5568000000007, 0.4, 4
11265, 3298.9414545454547, 0.4, 16
6420, 2729.0629000000004, 0.2, 3
6692, 2729.0629000000004, 0.4, 8
6915, 2713.4426000000008, 0.2, 12
8037, 2103.6700000000005, 0.4, 4
13440, 2644.4277000000006, 0.2, 3
20625, 2109.6700000000005, 0, 3
6815, 2713.4426000000008, 0.4, 9
9887, 3636.2396363636367, 0.6, 12
6046, 2729.0629000000004, 0.2, 6
7758, 2109.6700000000005, 0.2, 9
5698, 2649.5568000000007, 0.2, 8
8990, 2649.5568000000007, 0.2, 10
20951, 2103.6700000000005, 0.2, 11
11704, 2718.117100000001, 0, 11
2978, 2242.4857750000006, 0.2, 5
18941, 3764.5958181818182, 0, 4
13481, 2644.4277000000006, 0, 7
14818, 2679.6860000000006, 0.6, 1
20496, 2103.6700000000005, 0.4, 12
17984, 2604.0577000000008, 0.2, 15
13189, 2794.523600000001, 0.6, 3
15125, 2576.9022500000005, 0.2, 10
6335, 2713.4426000000008, 0.4, 8
6025, 2713.4426000000008, 0, 10
6825, 2713.4426000000008, 0.2, 10
8098, 2593.0401500000003, 0.2, 15
14667, 2679.6860000000006, 0, 6
10873, 2636.305750000001, 0, 12
17491, 3754.289090909091, 0, 6
1885, 2652.199040000001, 0, 6
5594, 2649.5568000000007, 0, 3
5294, 2649.5568000000007, 0.4, 4
783, 2720.6707, 0.2, 6
5657, 2649.5568000000007, 0, 12
20979, 2679.6860000000006, 0.4, 12
16167, 2761.8317200000006, 0.4, 12
8654, 3493.671636363637, 0.6, 15
11903, 3725.780625, 0.4, 3
20754, 2644.4277000000006, 0.4, 16
10657, 2866.2748000000006, 0.2, 11
15616, 2500.250200000001, 0, 3
16644, 2755.5896000000007, 0, 15
17019, 2103.6700000000005, 0, 9
12656, 2729.0629000000004, 0, 13
565, 3745.198181818182, 0, 14
1951, 2652.199040000001, 0.4, 3
3676, 2654.690400000001, 0.4, 1
20790, 2662.922900000001, 0.4, 6
5674, 2649.5568000000007, 0.2, 12
6192, 2729.0629000000004, 0.2, 10
14807, 2679.6860000000006, 0.2, 11
19234, 3431.848081818182, 0.4, 10
16258, 3745.198181818182, 0, 11
12486, 2718.117100000001, 0, 8
1554, 4135.175431818183, 0.2, 6
11347, 2649.5568000000007, 0.4, 3
1475, 2483.9100000000003, 0.4, 11
17296, 2309.9248000000002, 0.4, 6
15423, 2103.6700000000005, 0.4, 11
5530, 2649.5568000000007, 0.2, 3
2252, 2545.0217875000003, 0.4, 11
8019, 2566.1658250000005, 0, 10
12593, 4679.451818181818, 0.4, 10
1282, 2649.5568000000007, 0, 4
15183, 3289.5580000000004, 0.2, 7
11806, 2581.6389250000007, 0, 4
3438, 2713.4426000000008, 0.2, 8
13308, 2723.3929000000003, 0, 9
16471, 2755.5896000000007, 0, 10
16653, 2674.989400000001, 0, 2
6220, 2729.0629000000004, 0, 1
18082, 3750.9878181818185, 0, 6
6313, 2713.4426000000008, 0.4, 15
2594, 2242.4857750000006, 0.4, 8
16263, 3745.198181818182, 0, 8
1531, 2484.898675000001, 0.4, 3
14493, 2761.8317200000006, 0.4, 7
1150, 2713.4426000000008, 0.4, 4
18726, 3750.9878181818185, 0.6, 13
4534, 2837.6156000000005, 0.6, 9
7483, 2713.4426000000008, 0, 9
19013, 2880.6547181818187, 0.2, 8
17890, 2309.9248000000002, 0.4, 2
14601, 3208.0022272727274, 0, 3
5024, 3600.148000000001, 0, 12
19034, 2758.4297200000005, 0.4, 4
10779, 2103.6700000000005, 0.6, 12
6960, 2729.0629000000004, 0.4, 16
15354, 2604.8170750000004, 0.4, 3
1046, 2597.8225000000007, 0.4, 3
20415, 2103.6700000000005, 0.4, 4
