ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend
649,0,3,5,7,2,1,0,0,2,1,1,3,9,9
659,0,4,3,6,2,3,1,1,4,1,2,3,4.5,9
661,1,3,4,6,2,2,0,0,3,1,2,5,4.5,4.5
663,0,3,6,7,2,5,1,2,4,0,2,3,15,21
667,1,3,4,6,2,4,1,1,4,1,2,3,9,4.5
668,1,2,4,7,2,1,0,0,3,0,1,4,4.5,9
669,1,3,5,7,2,3,1,0,4,1,1,4,4.5,15
670,0,2,2,7,1,1,0,0,2,0,1,3,4.5,9
678,0,3,7,7,2,1,0,0,3,1,1,3,4.5,9
679,1,3,5,7,2,4,1,1,4,1,1,4,4.5,9
681,1,3,3,7,2,3,0,0,2,1,1,3,4.5,9
685,1,2,2,6,2,3,1,0,2,1,2,4,4.5,15
688,1,1,1,5,1,4,2,0,2,1,2,4,9,21
689,1,2,6,7,2,2,0,1,4,1,2,2,1.5,9
691,1,4,4,5,2,5,1,2,2,0,2,4,4.5,9
692,0,5,7,7,2,3,1,0,5,1,1,3,9,15
694,1,4,5,7,2,4,2,0,4,1,2,4,9,9
695,0,3,4,7,2,4,2,0,3,1,0,0,0,0
697,1,2,5,7,2,2,0,0,4,1,1,4,4.5,4.5
698,0,3,7,9,2,2,0,0,5,1,1,3,9,15
712,1,3,6,7,2,2,0,0,5,1,1,3,1.5,9
722,1,3,6,7,2,2,0,0,5,1,1,3,1.5,9
725,1,4,5,6,2,3,1,0,2,1,2,3,1.5,9
726,1,3,3,7,4,5,1,0,3,0,1,3,4.5,9
728,0,4,5,7,2,3,1,0,4,1,1,4,9,9
731,1,2,2,6,1,5,0,0,2,0,3,3,4.5,9
735,1,2,2,6,1,3,3,0,4,0,2,3,4.5,9
736,0,3,6,7,2,4,1,1,3,0,1,4,4.5,9
738,1,4,3,6,2,2,0,0,3,0,2,5,9,9
740,1,3,2,5,2,3,1,0,3,1,1,3,4.5,1.5
743,1,2,2,7,2,2,2,2,1,1,2,3,21,21
745,1,3,6,7,2,2,0,2,5,1,1,3,1.5,9
748,1,3,5,6,2,3,0,0,3,0,2,3,15,15
750,1,3,5,7,2,4,1,1,2,1,3,3,4.5,9
755,1,3,6,7,2,3,1,0,6,1,1,3,9,15
757,1,2,3,7,2,4,0,1,4,1,1,5,4.5,4.5
758,1,3,7,7,2,2,0,0,3,0,1,4,4.5,9
760,1,3,3,7,2,3,1,2,3,1,3,6,9,15
