ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday
134,0,2,1,7,1,1,0,0,1,0,1,5,4.5
135,0,2,1,9,1,1,0,0,1,0,1,5,1.5
136,0,2,6,7,2,1,0,0,3,0,1,4,9
137,1,2,2,9,1,6,0,1,1,0,0,0,0
138,1,2,3,9,1,1,0,0,1,0,0,0,0
139,1,2,5,7,2,1,0,0,2,0,1,4,4.5
140,1,3,4,5,2,3,0,0,3,1,2,5,15
141,1,3,4,5,2,3,0,0,2,1,2,5,9
142,1,2,1,7,1,3,1,0,2,0,2,7,9
143,1,3,6,9,2,1,0,0,4,0,0,0,0
145,1,2,2,7,1,1,0,0,1,0,1,4,1.5
147,1,3,5,5,2,3,0,0,2,1,2,4,9
149,1,3,3,7,2,3,1,0,3,1,3,4,4.5
151,0,2,4,6,2,1,0,0,2,0,1,3,1.5
152,1,3,7,7,2,3,0,1,5,0,3,5,4.5
153,1,3,6,9,2,2,0,0,3,1,2,3,1.5
155,0,3,6,6,2,3,1,0,2,1,1,5,1.5
156,1,3,3,7,2,3,1,0,3,0,3,4,9
160,1,2,4,7,2,1,1,0,1,0,1,4,1.5
161,1,3,6,7,2,2,0,0,3,0,1,2,4.5
164,1,2,1,7,1,1,0,0,1,0,1,4,9
166,1,3,3,6,4,2,0,1,2,1,1,5,4.5
167,1,3,6,7,2,5,1,2,3,1,2,6,4.5
168,0,2,2,7,1,1,0,0,1,0,1,4,4.5
169,0,3,3,3,2,5,1,2,2,1,1,4,9
170,1,4,7,5,2,5,1,2,4,1,3,4,9
172,0,3,6,6,2,4,1,2,6,1,1,4,4.5
173,0,3,5,7,2,3,1,0,4,1,3,3,4.5
176,1,2,1,6,2,1,0,0,1,0,1,3,4.5
178,1,4,5,7,2,5,0,2,4,1,2,5,4.5
179,0,3,1,5,4,2,0,0,4,1,1,4,4.5
182,0,3,6,7,2,3,1,1,6,1,1,3,9
184,1,2,1,7,1,3,0,0,3,0,1,4,9
185,1,3,4,7,2,3,1,0,4,0,2,5,15
187,0,2,1,7,1,3,0,0,3,1,3,2,4.5
190,0,2,7,6,4,1,0,0,2,0,1,4,21
193,0,3,6,7,2,1,0,0,2,0,0,0,0
200,0,3,3,5,2,1,1,0,1,0,1,3,4.5
202,1,2,1,7,1,1,0,0,1,0,1,5,9
203,0,5,7,9,2,3,0,0,5,1,3,3,9
206,0,3,5,7,2,2,0,0,3,0,3,2,4.5
208,0,3,3,5,2,5,1,2,2,1,1,4,9
211,0,3,7,7,2,3,1,0,7,1,1,5,4.5
213,1,4,4,6,2,5,1,2,4,1,1,4,4.5
217,1,2,2,7,2,2,0,2,1,1,1,4,9
219,1,3,5,7,2,5,1,0,3,1,2,5,4.5
