ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend,Temp_summer_day
104,0,2,5,7,2,2,0,0,3,0,1,4,4.5,21,1
105,0,5,4,9,4,2,0,2,4,0,1,2,1.5,1.5,2
106,1,4,7,9,2,3,1,2,4,1,2,4,4.5,9,1
107,0,3,1,9,1,3,0,1,4,1,2,3,9,9,3
108,1,2,3,9,1,1,0,0,1,0,1,3,9,15,3
109,0,2,2,9,1,1,0,0,1,0,1,4,1.5,4.5,1
110,0,3,1,9,1,1,0,0,1,0,1,3,4.5,4.5,2
111,1,4,7,7,2,1,0,0,3,0,1,3,4.5,9,2
112,1,3,5,7,2,2,0,0,3,0,3,4,4.5,9,1
113,1,3,7,9,2,1,0,1,5,0,1,4,1.5,9,2
114,0,3,7,7,2,3,0,1,3,0,3,5,9,21,2
115,0,3,6,9,2,1,1,2,3,0,3,4,4.5,4.5,1
116,0,3,6,7,2,1,0,0,1,0,1,4,4.5,9,3
117,0,3,1,9,1,3,0,0,4,1,1,4,9,9,2
120,1,2,3,9,2,3,0,0,3,0,1,3,1.5,9,3
121,1,2,4,7,2,3,0,0,2,1,1,3,4.5,4.5,3
122,1,2,1,9,1,3,0,0,2,1,2,4,1.5,1.5,4
123,1,2,1,9,1,1,0,0,1,0,1,4,4.5,9,1
124,0,3,1,7,2,1,1,1,1,0,1,3,1.5,4.5,6
125,0,2,1,7,1,1,0,0,1,0,3,3,4.5,15,2
126,1,3,7,9,2,4,1,2,5,1,3,3,9,15,1
127,1,4,6,9,2,5,1,2,4,1,2,4,1.5,4.5,1
128,0,3,7,9,2,5,1,2,5,1,4,3,9,15,1
129,1,3,7,9,2,1,0,0,3,0,1,4,4.5,9,1
130,1,3,3,9,1,1,0,0,1,0,1,4,9,9,4
131,1,3,3,9,2,1,0,0,2,0,1,3,9,15,2
132,1,2,7,9,2,3,0,0,3,1,3,2,1.5,1.5,3
133,1,2,1,7,1,3,0,0,1,1,1,2,1.5,1.5,5
134,0,2,1,7,1,1,0,0,1,0,1,5,4.5,9,1
135,0,2,1,9,1,1,0,0,1,0,1,5,1.5,4.5,2
136,0,2,6,7,2,1,0,0,3,0,1,4,9,15,3
137,1,2,2,9,1,6,0,1,1,0,0,0,0,0,0
138,1,2,3,9,1,1,0,0,1,0,0,0,0,0,0
139,1,2,5,7,2,1,0,0,2,0,1,4,4.5,9,2
140,1,3,4,5,2,3,0,0,3,1,2,5,15,15,2
141,1,3,4,5,2,3,0,0,2,1,2,5,9,9,4
142,1,2,1,7,1,3,1,0,2,0,2,7,9,4.5,5
143,1,3,6,9,2,1,0,0,4,0,0,0,0,0,0
145,1,2,2,7,1,1,0,0,1,0,1,4,1.5,9,2
147,1,3,5,5,2,3,0,0,2,1,2,4,9,9,4
149,1,3,3,7,2,3,1,0,3,1,3,4,4.5,9,5
151,0,2,4,6,2,1,0,0,2,0,1,3,1.5,9,1
152,1,3,7,7,2,3,0,1,5,0,3,5,4.5,15,4
153,1,3,6,9,2,2,0,0,3,1,2,3,1.5,1.5,2
155,0,3,6,6,2,3,1,0,2,1,1,5,1.5,4.5,6
156,1,3,3,7,2,3,1,0,3,0,3,4,9,9,4
160,1,2,4,7,2,1,1,0,1,0,1,4,1.5,1.5,5
161,1,3,6,7,2,2,0,0,3,0,1,2,4.5,9,1
164,1,2,1,7,1,1,0,0,1,0,1,4,9,21,2
166,1,3,3,6,4,2,0,1,2,1,1,5,4.5,9,1
167,1,3,6,7,2,5,1,2,3,1,2,6,4.5,9,2
168,0,2,2,7,1,1,0,0,1,0,1,4,4.5,9,1
169,0,3,3,3,2,5,1,2,2,1,1,4,9,9,2
170,1,4,7,5,2,5,1,2,4,1,3,4,9,4.5,3
172,0,3,6,6,2,4,1,2,6,1,1,4,4.5,9,3
173,0,3,5,7,2,3,1,0,4,1,3,3,4.5,9,3
176,1,2,1,6,2,1,0,0,1,0,1,3,4.5,4.5,4
178,1,4,5,7,2,5,0,2,4,1,2,5,4.5,9,2
179,0,3,1,5,4,2,0,0,4,1,1,4,4.5,4.5,4
182,0,3,6,7,2,3,1,1,6,1,1,3,9,15,2
184,1,2,1,7,1,3,0,0,3,0,1,4,9,9,2
185,1,3,4,7,2,3,1,0,4,0,2,5,15,21,1
187,0,2,1,7,1,3,0,0,3,1,3,2,4.5,9,1
190,0,2,7,6,4,1,0,0,2,0,1,4,21,21,4
