ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend,Temp_summer_day,Temp_summer_night
49,0,2,3,7,1,1,0,0,7,0,2,5,4.5,9,4,4
50,1,3,1,9,1,1,0,0,1,0,1,5,1.5,4.5,4,3
51,0,2,2,9,1,1,0,0,3,0,1,4,9,9,1,1
52,1,3,6,9,2,1,0,0,7,0,1,3,15,15,2,2
53,1,3,2,6,2,3,0,0,5,0,3,5,1.5,1.5,5,5
54,0,3,6,9,2,1,0,0,2,0,1,3,1.5,4.5,1,1
55,0,2,1,9,1,1,0,0,1,0,1,5,4.5,15,1,1
56,0,3,6,9,2,3,1,0,4,1,3,4,4.5,9,1,1
57,0,3,7,9,2,1,0,0,4,0,1,4,1.5,1.5,1,1
58,0,3,5,9,2,1,0,2,2,1,1,3,1.5,4.5,1,1
59,1,3,7,9,2,1,0,0,7,1,3,1,1.5,1.5,3,2
60,1,3,7,9,2,2,0,0,3,0,1,2,1.5,15,4,3
61,0,3,6,7,2,4,1,2,4,0,2,5,15,15,1,2
63,0,3,6,7,2,1,0,0,2,0,1,3,4.5,9,1,1
65,0,2,6,9,2,1,0,0,3,1,1,5,4.5,15,2,3
66,0,3,6,9,2,1,0,0,2,0,2,2,1.5,4.5,2,1
67,1,3,5,9,2,4,1,1,4,0,2,4,1.5,4.5,2,1
68,0,2,1,9,1,2,0,0,2,1,2,3,4.5,4.5,4,4
69,0,3,5,9,2,1,0,0,2,0,1,4,9,21,3,3
70,0,3,6,9,2,2,0,0,5,0,1,3,4.5,9,1,1
71,0,2,3,7,1,1,0,0,1,0,1,3,1.5,1.5,2,1
72,0,3,4,9,2,1,0,0,2,0,1,4,1.5,1.5,1,1
73,1,3,7,7,2,1,0,0,4,0,1,4,1.5,9,2,1
74,1,3,2,9,1,2,0,0,1,0,1,5,1.5,9,2,1
75,0,3,7,9,2,4,1,1,4,1,3,2,4.5,9,2,1
76,1,3,5,7,2,1,0,0,2,1,2,5,1.5,9,3,3
77,0,4,7,9,2,3,1,0,7,1,4,4,1.5,4.5,1,1
78,0,3,2,9,1,1,0,0,1,0,1,4,4.5,9,3,3
79,0,3,1,9,1,1,0,0,1,0,1,2,1.5,1.5,2,1
80,1,3,2,9,1,1,0,0,1,0,3,4,4.5,9,1,1
81,0,3,6,9,2,4,0,1,4,0,3,6,4.5,9,3,3
82,1,2,1,9,1,1,0,0,1,0,1,3,4.5,4.5,1,5
84,1,2,4,7,2,1,0,0,1,0,1,4,1.5,9,2,2
85,1,2,7,9,1,5,0,1,7,1,2,2,9,9,4,4
86,1,2,7,9,2,2,0,0,4,0,1,4,4.5,9,3,3
87,0,2,7,9,2,3,0,0,6,1,3,3,1.5,1.5,4,4
88,0,3,6,9,2,6,2,2,5,1,3,3,4.5,9,4,2
