ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,LED
319,1,4,6,7,2,5,1,2,5,1,4
326,1,3,5,6,2,3,1,0,2,1,3
328,1,3,5,7,2,4,1,1,4,1,3
330,1,4,6,6,2,4,1,1,4,1,2
332,0,3,7,9,2,2,0,0,4,1,4
343,1,4,5,6,2,3,1,0,3,1,2
346,1,3,6,7,2,4,1,1,4,1,2
347,0,3,3,7,2,4,0,2,4,1,4
348,0,3,4,6,2,1,0,0,1,0,3
349,1,3,6,9,2,1,0,0,2,1,4
354,1,2,5,7,2,3,0,0,2,1,3
355,1,2,1,7,1,3,0,0,4,1,4
357,0,4,5,6,2,5,1,2,4,1,2
358,1,2,2,7,1,3,0,1,7,1,3
360,1,3,6,7,2,4,1,1,3,1,2
362,1,3,5,5,2,4,1,1,3,1,3
366,1,2,2,7,1,3,0,0,5,1,4
368,1,3,5,7,2,3,1,0,6,1,4
370,1,4,6,7,2,2,0,0,4,0,3
381,1,3,5,7,2,1,0,0,6,1,2
390,0,2,5,7,2,4,0,0,6,1,3
394,1,2,2,7,1,3,1,1,2,0,2
398,0,2,3,7,2,2,0,0,3,1,2
400,1,3,6,7,2,2,0,0,4,1,4
406,0,4,3,7,2,1,0,0,1,1,1
408,1,2,3,7,1,3,0,0,4,1,4
414,1,2,3,9,1,3,0,0,3,1,2
415,1,2,5,7,2,2,0,0,2,0,4
418,0,4,5,7,2,2,0,0,4,1,3
420,0,3,6,6,2,4,1,1,4,1,3
423,1,2,2,7,2,2,0,0,4,1,4
426,1,3,4,6,2,1,0,0,2,0,3
427,1,2,4,7,2,3,0,0,3,1,3
432,1,2,2,7,1,3,0,0,7,1,4
435,0,2,1,7,1,6,1,2,5,1,4
437,1,3,5,7,2,1,0,0,4,1,3
438,0,2,3,7,2,3,0,0,4,1,3
440,1,3,5,7,2,3,1,1,4,1,4
441,1,3,5,7,2,2,0,0,5,1,4
446,1,2,2,7,2,3,0,0,2,1,4
447,1,2,6,9,2,1,0,0,2,1,3
451,0,3,3,6,2,3,0,1,5,1,3
453,1,2,3,7,1,2,0,1,2,1,4
456,1,3,5,6,2,1,0,0,3,1,3
457,1,1,1,7,1,4,1,0,1,1,3
460,1,3,5,7,2,3,0,0,3,1,4
465,1,3,5,6,2,4,2,0,3,1,4
470,0,4,7,7,2,3,2,0,6,1,2
475,1,3,6,7,2,1,0,0,3,0,3
485,1,2,2,7,1,3,0,1,1,1,4
490,1,3,7,9,2,3,1,0,4,1,3
496,1,4,6,7,2,3,1,0,5,1,4
498,0,3,6,7,2,1,1,0,4,0,4
503,0,3,3,6,4,1,0,0,2,0,4
504,1,2,6,9,2,2,0,0,4,1,2
508,1,3,2,6,2,4,1,2,2,1,2
509,1,4,5,7,2,6,1,2,5,1,4
510,0,3,2,5,4,2,0,0,4,0,3
512,1,2,3,7,2,6,1,2,7,1,1
517,1,2,4,7,2,2,0,0,3,0,4
528,0,3,3,6,2,3,0,1,2,1,3
539,1,4,5,7,2,4,1,1,3,0,4
540,1,3,6,7,2,3,1,0,6,1,4
541,1,4,7,7,2,5,1,2,5,1,4
554,1,3,5,7,2,2,0,0,2,0,2
563,0,4,7,7,2,4,2,0,6,1,2
566,1,3,5,7,2,2,0,0,4,1,4
568,1,3,4,6,2,2,0,0,2,1,3
569,1,2,4,6,4,4,1,0,4,1,3
572,1,2,6,7,2,4,2,0,3,1,4
573,1,3,4,7,2,1,0,0,3,0,3
576,1,2,6,7,2,3,0,0,4,1,4
578,0,3,5,6,2,4,1,1,4,1,3
580,1,2,3,7,2,2,0,0,1,0,3
588,1,3,4,7,2,5,2,1,3,0,3
590,1,2,3,6,2,3,0,0,3,1,3
591,1,3,6,7,2,3,1,2,4,1,3
595,0,3,6,7,2,4,1,1,4,1,3
604,1,3,4,6,2,1,0,0,2,0,1
607,0,2,2,7,2,3,0,0,4,1,2
612,1,2,3,7,1,3,0,0,3,1,4
614,1,3,6,9,2,5,1,2,4,1,4
616,0,3,5,6,2,4,1,1,4,1,3
618,1,3,5,7,2,2,0,0,2,0,4
623,0,3,4,6,2,3,0,1,5,1,3
624,1,4,6,7,2,5,1,2,5,1,4
628,1,3,3,7,2,4,1,1,3,1,4
632,1,5,6,7,2,2,0,0,3,1,2
638,1,3,4,7,2,5,1,2,2,1,3
639,0,3,3,7,2,1,0,0,1,0,2
643,0,4,7,9,2,5,1,2,7,1,3
645,1,4,6,6,2,3,1,0,3,1,4
646,1,3,5,6,2,3,0,0,5,1,2
647,1,2,2,2,2,6,0,2,2,0,2
648,0,4,7,7,2,4,2,0,6,1,3
649,0,3,5,7,2,1,0,0,2,1,3
659,0,4,3,6,2,3,1,1,4,1,3
661,1,3,4,6,2,2,0,0,3,1,1
663,0,3,6,7,2,5,1,2,4,0,3
667,1,3,4,6,2,4,1,1,4,1,3
668,1,2,4,7,2,1,0,0,3,0,1
669,1,3,5,7,2,3,1,0,4,1,4
670,0,2,2,7,1,1,0,0,2,0,2
678,0,3,7,7,2,1,0,0,3,1,4
679,1,3,5,7,2,4,1,1,4,1,3
681,1,3,3,7,2,3,0,0,2,1,2
685,1,2,2,6,2,3,1,0,2,1,2
688,1,1,1,5,1,4,2,0,2,1,3
689,1,2,6,7,2,2,0,1,4,1,4
691,1,4,4,5,2,5,1,2,2,0,3
692,0,5,7,7,2,3,1,0,5,1,4
694,1,4,5,7,2,4,2,0,4,1,3
695,0,3,4,7,2,4,2,0,3,1,3
697,1,2,5,7,2,2,0,0,4,1,3
698,0,3,7,9,2,2,0,0,5,1,4
712,1,3,6,7,2,2,0,0,5,1,3
722,1,3,6,7,2,2,0,0,5,1,3
725,1,4,5,6,2,3,1,0,2,1,4
726,1,3,3,7,4,5,1,0,3,0,1
728,0,4,5,7,2,3,1,0,4,1,3
731,1,2,2,6,1,5,0,0,2,0,3
735,1,2,2,6,1,3,3,0,4,0,2
736,0,3,6,7,2,4,1,1,3,0,3
740,1,3,2,5,2,3,1,0,3,1,4
743,1,2,2,7,2,2,2,2,1,1,2
745,1,3,6,7,2,2,0,2,5,1,3
748,1,3,5,6,2,3,0,0,3,0,4
750,1,3,5,7,2,4,1,1,2,1,3
755,1,3,6,7,2,3,1,0,6,1,4
757,1,2,3,7,2,4,0,1,4,1,2
758,1,3,7,7,2,2,0,0,3,0,3
760,1,3,3,7,2,3,1,2,3,1,3
768,1,3,2,6,2,3,1,0,2,1,4
771,1,3,5,6,2,4,1,1,3,1,3
772,1,3,6,7,2,3,0,0,5,0,2
779,0,4,4,5,2,8,2,2,3,1,3
781,1,3,6,7,2,1,0,0,3,0,4
782,1,2,6,7,2,1,0,0,2,1,3
791,0,3,6,7,2,3,1,0,3,1,3
792,1,2,3,6,2,6,1,1,4,1,2
794,1,3,7,7,2,2,0,0,5,1,3
795,0,3,5,6,2,3,1,0,4,1,4
797,1,3,3,6,2,2,0,0,2,1,3
799,1,3,7,7,2,3,1,0,5,1,4
800,0,5,5,7,2,3,1,0,6,1,4
801,1,3,7,6,2,2,0,0,4,1,4
802,1,3,5,7,2,2,0,0,2,1,3
807,0,3,6,7,2,4,1,0,6,1,3
808,1,2,3,7,1,3,0,0,3,1,2
809,0,3,2,7,2,5,2,0,2,0,4
811,1,2,2,7,2,2,5,2,4,1,4
816,0,4,5,6,2,5,2,0,3,1,3
818,1,3,4,7,2,2,0,0,2,0,2
823,0,4,1,5,2,3,0,0,1,1,4
824,0,3,4,7,2,4,1,1,4,1,4
826,1,4,4,6,2,3,1,0,2,1,4
831,0,3,4,6,2,4,2,0,3,0,2
832,1,3,5,7,1,3,0,0,3,1,4
835,1,2,3,6,2,1,1,0,1,0,4
836,0,3,5,9,2,4,1,1,4,1,3
839,0,3,5,7,2,2,0,0,3,1,4
840,1,3,4,7,2,2,0,0,3,1,3
841,1,3,3,5,4,3,0,0,3,1,3
843,1,2,4,6,2,5,1,0,3,1,3
845,1,3,6,7,2,3,1,0,3,0,4
847,1,3,4,7,2,3,0,1,2,1,4
855,1,4,6,7,2,5,2,1,4,1,3
860,1,2,1,6,1,3,0,0,2,0,3
861,1,2,6,7,2,3,0,0,3,1,3
862,1,2,3,5,2,3,0,0,2,1,1
863,1,3,4,6,2,1,1,0,2,0,3
864,0,3,7,7,2,3,0,0,7,1,3
865,1,2,1,7,1,4,0,0,2,1,3
866,0,3,4,6,2,1,0,0,3,0,4
867,1,2,6,6,2,5,1,2,4,1,3
868,1,4,7,7,2,1,0,0,5,0,4
869,1,3,6,7,2,5,1,2,5,1,4
870,0,3,6,7,2,3,1,0,4,1,4
