PID,Yearly_electricity,Certainty,District,Adjusted_electricity
6397,2770.4072,0.4,9,3209.594927487421
12256,2581.6389250000007,0.4,3,3025.6104468242092
2238,2545.0217875000003,0.2,11,2259.8887487445386
13748,3244.662727272728,0.0,8,3244.662727272728
20407,2755.5896000000007,0.0,9,2755.5896000000007
21399,3763.38,0.4,12,2258.028
13148,2723.3929000000003,0.2,4,2522.0318732456276
11926,2743.7017,0.0,10,2743.7017
3242,2248.1935750000007,0.4,1,3147.471005000001
5653,2649.5568000000007,0.6,3,3333.1815580602224
79,3745.198181818182,0.2,6,4255.600761703633
19487,2249.8122050000006,0.0,11,2249.8122050000006
1270,2755.5896000000007,0.4,11,2138.141160258735
18316,3851.553,0.4,4,3282.0089886079595
5105,3128.918545454546,0.4,4,2666.23278269396
1981,2652.199040000001,0.2,4,2456.1018441805213
13673,2103.6700000000005,0.0,12,2103.6700000000005
11781,4525.297272727274,0.4,11,3511.3081015928346
11654,2718.117100000001,0.4,12,1630.8702600000004
5459,2649.5568000000007,0.0,9,2649.5568000000007
20026,2103.6700000000005,0.0,11,2103.6700000000005
8858,2720.6707,0.2,6,3092.8116930683723
2987,2242.485775000001,0.2,3,2435.125135010218
14412,2794.523600000001,0.2,4,2587.9034121454897
11636,2718.117100000001,0.2,10,3261.7405200000007
17864,2636.0365000000006,0.0,4,2636.0365000000006
11688,2581.6389250000007,0.2,6,2935.0173624799363
5771,2649.5568000000007,0.4,4,2257.75577883731
10802,2321.8516000000004,0.2,7,2430.238686707803
2345,2794.523600000001,0.0,14,2794.523600000001
18497,3750.9878181818185,0.0,11,3750.9878181818185
3370,2670.3668,0.2,15,2624.981555027834
7221,2713.4426000000008,0.0,9,2713.4426000000008
4996,3621.288363636364,0.2,3,3932.558938660528
17821,2713.4426000000008,0.0,8,2713.4426000000008
13062,2723.3929000000003,0.0,11,2723.3929000000003
16536,2103.6700000000005,0.6,12,841.4680000000003
17896,2103.6700000000005,0.0,9,2103.6700000000005
3395,2566.1658250000005,0.2,1,3079.3989900000006
7727,2694.6919000000003,0.0,9,2694.6919000000003
1896,2761.8317200000006,0.4,2,3866.5644080000006
19895,2103.6700000000005,0.2,9,2270.322320061643
13622,2103.6700000000005,0.4,11,1632.2980445151177
13657,2103.6700000000005,0.0,10,2103.6700000000005
6016,2729.0629000000004,0.2,6,3102.336433590201
20991,2679.6860000000006,0.0,4,2679.6860000000006
5718,2649.5568000000007,0.4,13,3606.600673341868
3687,2649.5568000000007,0.0,6,2649.5568000000007
14404,3745.198181818182,0.4,8,4645.0978615420945
2615,2553.183625,0.4,15,2466.399215362775
2347,3745.198181818182,0.4,3,4389.39336077025
9295,2089.6700000000005,0.0,6,2089.6700000000005
19693,2103.6700000000005,0.4,4,1792.5909912352956
14859,3259.3220909090915,0.2,10,3911.1865090909096
16822,2309.9248,0.0,6,2309.9248
5428,2649.5568000000007,0.4,8,3286.5581511167793
18972,3865.639,0.4,15,3734.2429261753327
19097,2880.6547181818187,0.0,6,2880.6547181818187
5302,2649.5568000000007,0.4,15,2559.496570246013
5528,2702.5660000000003,0.4,6,3436.9792460569993
6649,2713.4426000000008,0.2,4,2512.8172644548345
14398,2918.084090909092,0.4,14,3094.691728063492
7268,2729.0629000000004,0.4,10,3820.6880600000004
4363,3128.918545454546,0.4,13,4259.005406488147
11757,3763.38,0.4,10,5268.732
13353,2644.4277000000006,0.4,3,3099.1745821267464
7626,2109.6700000000005,0.2,9,2276.7980674424916
6015,2713.4426000000008,0.4,6,3450.7914744356667
11900,2581.6389250000007,0.4,3,3025.581202132707
13638,2103.6700000000005,0.4,4,1792.5909912352956
11406,2121.6700000000005,0.4,12,1273.0020000000002
19075,3372.693400000001,0.4,8,4183.2108364431315
12364,2718.117100000001,0.4,5,1630.8702600000004
15582,3690.068363636364,0.2,12,2952.0546909090917
6531,2713.4426000000008,0.0,6,2713.4426000000008
4131,3239.339090909091,0.4,6,4118.629074050961
7280,2729.0629000000004,0.6,10,4366.500640000001
13561,2330.7216000000003,0.4,3,2731.5156178390457
15565,2103.6700000000005,0.2,4,1948.129168583851
21119,2103.6700000000005,0.2,4,1948.129168583851
10868,2321.8516000000004,0.4,12,1393.1109600000002
16411,2729.0629000000004,0.0,12,2729.0629000000004
9333,2694.6919000000003,0.4,9,3121.872508932356
21242,2989.279090909092,0.2,10,3587.1349090909102
6084,2729.0629000000004,0.2,3,2963.596261855846
2883,2652.129100000001,0.0,15,2652.129100000001
13672,2330.7216000000003,0.2,11,2069.59782401673
17903,2103.6700000000005,0.0,9,2103.6700000000005
12518,2718.117100000001,0.4,10,3805.363940000001
16895,2103.6700000000005,0.4,10,2945.1380000000004
15119,3273.754818181819,0.4,8,4060.532016051999
7215,2713.4426000000008,0.0,9,2713.4426000000008
21064,3067.378545454546,0.2,4,2840.584394527623
1822,2713.4426000000008,0.4,3,3180.094714734928
6732,2729.0629000000004,0.4,8,3385.141680238145
1097,2511.6004000000007,0.2,3,2727.394195028611
19744,2103.6700000000005,0.0,7,2103.6700000000005
12619,4016.397386363637,0.2,4,3719.4360225257365
17589,2655.9928750000004,0.0,3,2655.9928750000004
11456,2103.6700000000005,0.2,7,2201.8711519445565
1446,2121.6700000000005,0.4,8,2632.0053090004562
13688,2330.7216000000003,0.4,12,1398.43296
5958,2729.0629000000004,0.4,6,3470.6277422898934
9483,2704.7467,0.2,11,2401.7187753827247
14387,3745.198181818182,0.6,11,2486.4110953424984
221,3214.997272727273,0.0,6,3214.997272727273
20332,2713.4426000000008,0.0,11,2713.4426000000008
8298,2109.6700000000005,0.0,6,2109.6700000000005
4345,3239.339090909091,0.2,1,3887.206909090909
2625,2691.2899,0.4,3,3154.130008957597
21329,2718.117100000001,0.4,3,3185.544351496076
13234,2723.3929000000003,0.2,16,2294.997230714931
9115,2109.6700000000005,0.2,11,1873.3118857388565
15740,2103.6700000000005,0.4,3,2465.3640498970176
12742,2718.117100000001,0.4,12,1630.8702600000004
4640,2103.6700000000005,0.0,15,2103.6700000000005
14904,3268.710727272728,0.6,14,3565.451373362219
12967,2626.3093375000003,0.4,12,1575.7856025
4082,3295.1020000000003,0.6,6,4634.121737780711
18997,2103.6700000000005,0.0,6,2103.6700000000005
6437,2713.4426000000008,0.2,3,2946.63200211632
2204,2576.3587375,0.2,1,3091.630485
12051,2626.3093375000003,0.2,6,2985.7161170455506
7291,2713.4426000000008,0.2,14,2795.555067872663
11986,2718.117100000001,0.0,10,2718.117100000001
5795,2649.5568000000007,0.2,6,3012.100860986764
17497,2655.9928750000004,0.4,6,3377.8358888674193
17846,2729.0629000000004,0.6,8,3712.5599792271464
6255,2770.4072,0.4,13,3771.076377823106
99,3745.198181818182,0.4,11,2906.0068424587053
5598,2649.5568000000007,0.2,11,2352.7121122101357
20353,2674.989400000001,0.2,4,2477.2071627740665
5018,3600.148000000001,0.2,12,2880.118400000001
1490,2483.9100000000003,0.0,12,2483.9100000000003
5676,2649.5568000000007,0.2,9,2859.493155727466
11026,2103.6700000000005,0.4,12,1262.2020000000002
16673,2755.5896000000007,0.6,11,1829.4168629516348
19149,3431.848081818182,0.6,12,1372.7392327272728
10301,2866.2748000000006,0.4,10,4012.7847200000006
18856,2604.0577000000008,0.2,9,2810.3863761181346
3275,2649.5568000000007,0.6,6,3727.2245331792724
20608,2103.6700000000005,0.4,7,2300.0736299301
17572,2743.7017,0.6,2,4389.9227200000005
14960,3411.336363636364,0.4,13,4642.325896440083
720,2694.6919000000003,0.0,4,2694.6919000000003
10898,3293.727454545455,0.2,9,3554.7408941170665
20620,2103.6700000000005,0.2,3,2284.3949920431155
17920,2103.6700000000005,0.0,11,2103.6700000000005
8526,2109.6700000000005,0.6,10,3375.472000000001
815,2837.6156000000005,0.4,4,2418.0057276521375
13495,2662.922900000001,0.4,5,1597.7537400000006
5296,2654.690400000001,0.0,15,2654.690400000001
3501,2566.1658250000005,0.4,5,1539.6994950000003
17437,2655.9928750000004,0.0,5,2655.9928750000004
6431,2713.4426000000008,0.2,7,2840.109558475193
17504,2718.117100000001,0.0,6,2718.117100000001
13416,2662.922900000001,0.0,6,2662.922900000001
5781,2649.5568000000007,0.4,8,3286.5581511167793
1339,3745.198181818182,0.4,11,2906.0068424587053
6008,2729.0629000000004,0.0,3,2729.0629000000004
3550,2713.4426000000008,0.2,11,2409.4404244939305
18315,2820.4377400000008,0.6,4,2194.8344754687723
16693,2109.6700000000005,0.2,4,1953.68554906934
5305,2649.5568000000007,0.4,11,2055.867269547335
7967,2694.6919000000003,0.4,6,3426.9799018247527
6117,2713.4426000000008,0.4,4,2312.1945829772617
18639,3460.694672727273,0.4,10,4844.9725418181815
14389,3745.198181818182,0.0,16,3745.198181818182
13360,2662.922900000001,0.2,3,2891.7363776009374
20730,2662.922900000001,0.4,1,3728.092060000001
89,3745.198181818182,0.2,11,3325.6025895749112
18807,2982.415763636364,0.4,4,2541.3938318573423
10861,2636.305750000001,0.0,3,2636.305750000001
11532,2642.922900000001,0.2,11,2346.8214455696702
9844,3493.671636363637,0.0,3,3493.671636363637
5352,2649.5568000000007,0.4,4,2257.75577883731
17646,2642.922900000001,0.2,3,2870.015591521891
1534,2484.898675000001,0.2,4,2301.1710969636565
18037,2636.305750000001,0.2,12,2109.0446000000006
16854,3548.1901818181823,0.4,7,3879.457195705967
20746,2723.3929000000003,0.2,12,2178.7143200000005
12,2794.523600000001,0.6,8,3801.5815481004474
20785,2662.922900000001,0.4,12,1597.7537400000006
3054,2652.129100000001,0.6,14,2892.8930369627674
6237,2713.4426000000008,0.4,16,1859.781591538115
16917,2103.6700000000005,0.0,8,2103.6700000000005
7523,2702.5660000000003,0.2,3,2934.7903423314497
8070,2109.6700000000005,0.2,9,2276.7980674424916
10217,2866.2748000000006,0.4,5,1719.7648800000004
11800,2718.117100000001,0.2,7,2845.0022689597304
11740,2729.0629000000004,0.6,9,3378.084901373452
6542,2729.0629000000004,0.2,6,3102.336433590201
21813,2662.922900000001,0.4,10,3728.092060000001
16229,2266.5540000000005,0.2,15,2228.0317544757927
7096,2729.0629000000004,0.2,8,3057.723381249143
5551,2649.5568000000007,0.4,4,2257.75577883731
11265,3298.9414545454547,0.4,16,2261.0799074203665
6420,2729.0629000000004,0.2,3,2963.596261855846
6692,2729.0629000000004,0.4,8,3385.141680238145
6915,2713.4426000000008,0.2,12,2170.7540800000006
8037,2103.6700000000005,0.4,4,1792.5909912352956
13440,2644.4277000000006,0.2,3,2871.6791081579795
20625,2109.6700000000005,0.0,3,2109.6700000000005
6815,2713.4426000000008,0.4,9,3143.5967410703856
9887,3636.2396363636367,0.6,12,1454.4958545454547
6046,2729.0629000000004,0.2,6,3102.336433590201
7758,2109.6700000000005,0.2,9,2276.798067218308
5698,2649.5568000000007,0.2,8,2968.678566688461
8990,2649.5568000000007,0.2,10,3179.468160000001
20951,2103.6700000000005,0.2,11,1867.9840996940272
11704,2718.117100000001,0.0,11,2718.117100000001
2978,2242.485775000001,0.2,5,1793.988620000001
18941,3764.595818181818,0.0,4,3764.595818181818
13481,2644.4277000000006,0.0,7,2644.4277000000006
14818,2679.6860000000006,0.6,1,4287.4976000000015
20496,2103.6700000000005,0.4,12,1262.2020000000002
17984,2604.0577000000008,0.2,15,2559.7994111735898
13189,2794.523600000001,0.6,3,3515.537641073312
15125,2576.9022500000005,0.2,10,3092.2827000000007
6335,2713.4426000000008,0.4,8,3365.77330095738
6025,2713.4426000000008,0.0,10,2713.4426000000008
6825,2713.4426000000008,0.2,10,3256.131120000001
8098,2593.0401500000003,0.2,15,2548.970984901431
14667,2679.6860000000006,0.0,6,2679.6860000000006
10873,2636.305750000001,0.0,12,2636.305750000001
17491,3754.289090909091,0.0,6,3754.289090909091
1885,2652.199040000001,0.0,6,2652.199040000001
5594,2649.5568000000007,0.0,3,2649.5568000000007
5294,2649.5568000000007,0.4,4,2257.75577883731
783,2720.6707,0.2,6,3092.8116930683723
5657,2649.5568000000007,0.0,12,2649.5568000000007
20979,2679.6860000000006,0.4,12,1607.8116000000002
16167,2761.8317200000006,0.4,12,1657.0990320000003
8654,3493.671636363637,0.6,15,3315.5424156720983
11903,3725.780625,0.4,3,4366.634457805885
20754,2644.4277000000006,0.4,16,1812.4790854345235
10657,2866.2748000000006,0.2,11,2545.149968220697
15616,2500.250200000001,0.0,3,2500.250200000001
16644,2755.5896000000007,0.0,15,2755.5896000000007
17019,2103.6700000000005,0.0,9,2103.6700000000005
12656,2729.0629000000004,0.0,13,2729.0629000000004
565,3745.198181818182,0.0,14,3745.198181818182
1951,2652.199040000001,0.4,3,3108.283203495501
3676,2654.690400000001,0.4,1,3716.566560000001
20790,2662.922900000001,0.4,6,3386.6363493026543
5674,2649.5568000000007,0.2,12,2119.6454400000007
6192,2729.0629000000004,0.2,10,3274.87548
14807,2679.6860000000006,0.2,11,2379.465767427115
19234,3431.848081818182,0.4,10,4804.587314545454
16258,3745.198181818182,0.0,11,3745.198181818182
12486,2718.117100000001,0.0,8,2718.117100000001
1554,4135.175431818183,0.2,6,4698.206051814255
11347,2649.5568000000007,0.4,3,3105.2155352060518
1475,2483.9100000000003,0.4,11,1927.3371664104452
17296,2309.9248,0.4,6,2938.3629573938406
15423,2103.6700000000005,0.4,11,1632.2980445151177
5530,2649.5568000000007,0.2,3,2877.249512351882
2252,2545.0217875000003,0.4,11,1974.755555116141
8019,2566.1658250000005,0.0,10,2566.1658250000005
12593,4679.451818181818,0.4,10,6551.232545454545
1282,2649.5568000000007,0.0,4,2649.5568000000007
15183,3289.5580000000004,0.2,7,3443.118619561197
11806,2581.6389250000007,0.0,4,2581.6389250000007
3438,2713.4426000000008,0.2,8,3040.2290416087612
13308,2723.3929000000003,0.0,9,2723.3929000000003
16471,2755.5896000000007,0.0,10,2755.5896000000007
16653,2674.989400000001,0.0,2,2674.989400000001
6220,2729.0629000000004,0.0,1,2729.0629000000004
18082,3750.9878181818185,0.0,6,3750.9878181818185
6313,2713.4426000000008,0.4,15,2621.210828332867
2594,2242.485775000001,0.4,8,2781.810738684882
16263,3745.198181818182,0.0,8,3745.198181818182
1531,2484.898675000001,0.4,3,2912.22326927586
14493,2761.8317200000006,0.4,7,3019.6816931368453
1150,2713.4426000000008,0.4,4,2312.1945829772617
18726,3750.9878181818185,0.6,13,5782.660562634734
4534,2837.6156000000005,0.6,9,3512.459432503812
7483,2713.4426000000008,0.0,9,2713.4426000000008
19013,2880.6547181818187,0.2,8,3227.5023710237238
17890,2309.9248,0.4,2,3233.8947199999993
14601,3208.0022272727274,0.0,3,3208.0022272727274
5024,3600.148000000001,0.0,12,3600.148000000001
19034,2758.4297200000005,0.4,4,2350.5293148660453
10779,2103.6700000000005,0.6,12,841.4680000000003
6960,2729.0629000000004,0.4,16,1870.4876758197686
15354,2604.8170750000004,0.4,3,3052.7478159185116
1046,2597.8225000000007,0.4,3,3044.57886888113
20415,2103.6700000000005,0.4,4,1792.5909912352956
2244,2576.3587375,0.0,1,2576.3587375
9171,2694.6919000000003,0.0,10,2694.6919000000003
19394,3764.595818181818,0.2,16,3172.4166189223956
3143,2248.1935750000007,0.2,4,2081.9671638877026
17561,3763.38,0.2,9,4061.6327676397877
19294,3431.848081818182,0.0,12,3431.848081818182
10714,2321.8516000000004,0.4,9,2689.906277089889
16663,4415.577272727273,0.2,4,4089.1019109908416
858,2694.6919000000003,0.0,3,2694.6919000000003
16098,2326.246600000001,0.4,3,2726.2413213771715
17951,2309.9248,0.4,2,3233.8947199999993
3731,2103.6700000000005,0.2,3,2284.3949920431155
17933,2103.6700000000005,0.4,6,2676.439341392867
1683,2761.8317200000006,0.4,2,3866.5644080000006
134,2109.6700000000005,0.2,11,1873.3118857388565
7027,2713.4426000000008,0.0,10,2713.4426000000008
13439,2644.4277000000006,0.4,15,2554.5418134588513
19178,2758.4297200000005,0.0,4,2758.4297200000005
8565,2109.6700000000005,0.2,3,2290.911227866829
5688,2649.5568000000007,0.2,6,3012.100860986764
2676,2652.129100000001,0.2,15,2607.0556887972216
1200,2702.5660000000003,0.4,1,3783.5924
13396,2691.2899,0.4,12,1614.77394
10420,2791.5418000000004,0.2,4,2585.1420762568837
401,3214.997272727273,0.4,11,2494.6087500794547
1923,2761.8317200000006,0.6,15,2621.014574813435
11684,2581.6389250000007,0.2,12,2065.3111400000007
12904,2581.6389250000007,0.4,12,1548.9833550000003
6673,2713.4426000000008,0.2,6,3084.608149663088
15736,2103.6700000000005,0.0,6,2103.6700000000005
14368,3745.198181818182,0.2,12,2996.1585454545457
8073,2109.6700000000005,0.2,9,2276.798067218308
1004,2837.6156000000005,0.2,6,3225.53849031477
20027,2309.9248,0.2,5,1847.93984
13687,2103.6700000000005,0.4,11,1632.2980445151177
14635,3424.3375000000005,0.0,11,3424.3375000000005
12664,2718.117100000001,0.2,10,3261.7405200000007
7263,2713.4426000000008,0.4,10,3798.8196400000006
18052,2632.634500000001,0.0,9,2632.634500000001
3204,2244.1300750000005,0.0,9,2244.1300750000005
19202,2880.6547181818187,0.2,11,2557.9188227898435
12684,2718.117100000001,0.6,12,1087.2468400000005
2391,3745.198181818182,0.2,10,4494.2378181818185
12612,2694.6919000000003,0.6,10,4311.50704
19221,3374.461954545455,0.2,4,3124.9631048093183
4183,3371.120672727273,0.0,11,3371.120672727273
6196,2729.0629000000004,0.4,9,3161.6941466747435
17320,2103.6700000000005,0.2,9,2270.32231983746
1766,2242.485775000001,0.0,3,2242.485775000001
4166,3543.997818181819,0.4,3,4153.541473957927
19976,2792.2229200000006,0.2,8,3128.4610009858557
17093,2103.6700000000005,0.2,8,2357.2992023739657
3434,2713.4426000000008,0.0,14,2713.4426000000008
4311,3239.339090909091,0.4,12,1943.6034545454545
10110,3438.3681818181826,0.4,6,4371.376739464305
13675,2103.6700000000005,0.4,10,2945.1380000000004
3744,2103.6700000000005,0.4,9,2437.1249021734084
7254,2729.0629000000004,0.4,10,3820.6880600000004
18492,3862.291636363637,0.0,11,3862.291636363637
5550,2649.5568000000007,0.4,6,3369.6626970830184
20810,2662.922900000001,0.6,11,1767.8960874114325
19928,2103.6700000000005,0.0,10,2103.6700000000005
17729,2309.9248,0.4,3,2707.140133446173
9234,2694.6919000000003,0.2,3,2926.2680049397004
15420,2103.6700000000005,0.0,9,2103.6700000000005
12942,2642.922900000001,0.4,12,1585.7537400000006
9454,2109.6700000000005,0.0,6,2109.6700000000005
13643,2330.7216000000003,0.4,2,3263.01024
5487,2649.5568000000007,0.2,12,2119.6454400000007
7611,2713.4426000000008,0.6,12,1085.3770400000003
13047,3725.780625,0.0,3,3725.780625
8324,2720.519500000001,0.4,3,3188.360153143707
19602,3669.7902954545457,0.4,3,4301.009390296124
13093,2794.523600000001,0.0,13,2794.523600000001
13869,2103.6700000000005,0.4,7,2300.0726372893882
6462,2743.7017,0.2,9,2961.1029208841965
11928,2581.6389250000007,0.0,2,2581.6389250000007
13040,2718.117100000001,0.4,8,3371.5694437297934
21704,2982.415763636364,0.0,14,2982.415763636364
14386,3745.198181818182,0.6,3,4711.627605497428
15518,2809.6341500000003,0.6,4,2186.427227144159
19088,3851.553,0.4,3,4514.04956800875
7417,2713.4426000000008,0.4,3,3180.065470043426
7638,2103.6700000000005,0.0,6,2103.6700000000005
16377,2573.212900000001,0.0,2,2573.212900000001
16824,2103.6700000000005,0.4,10,2945.1380000000004
11690,2718.117100000001,0.2,11,2413.591213805024
7635,2109.6700000000005,0.4,9,2444.0763967109233
12464,2581.6389250000007,0.4,4,2199.8811354153495
14914,2679.6860000000006,0.2,9,2892.0113370586446
11010,2576.9022500000005,0.6,6,3625.155447549675
11628,2718.117100000001,0.4,12,1630.8702600000004
11062,2103.6700000000005,0.0,8,2103.6700000000005
17703,2103.6700000000005,0.4,8,2609.686222487791
5241,2649.5568000000007,0.4,8,3286.5581511167793
5679,2649.5568000000007,0.0,12,2649.5568000000007
12287,4679.451818181818,0.0,11,4679.451818181818
11618,2743.7017,0.4,3,3215.531513847873
10767,2636.305750000001,0.0,10,2636.305750000001
19540,3851.553,0.6,10,6162.4848
9508,2109.6700000000005,0.4,9,2444.0763967109233
11096,3808.2555,0.4,3,4463.272249791494
19608,3771.023727272728,0.2,11,3348.5347530203853
13497,2662.922900000001,0.0,10,2662.922900000001
13653,2103.6700000000005,0.0,6,2103.6700000000005
17001,2103.6700000000005,0.2,13,2483.958309524292
7091,2713.4426000000008,0.4,10,3798.8196400000006
15117,3383.521363636364,0.0,8,3383.521363636364
7376,2729.0629000000004,0.0,6,2729.0629000000004
2780,2248.1935750000007,0.2,3,2441.3240301493165
551,3745.198181818182,0.4,9,4338.970661464009
13579,2103.6700000000005,0.0,5,2103.6700000000005
17661,3763.38,0.6,16,1987.4159980351935
20163,2103.6700000000005,0.4,9,2437.1249019492247
12078,2718.117100000001,0.0,10,2718.117100000001
1536,2484.898675000001,0.2,6,2825.221864366587
16840,2808.010550000001,0.0,3,2808.010550000001
1243,2655.9928750000004,0.4,3,3112.7591210324213
3736,2103.6700000000005,0.2,11,1867.9840996940272
15980,2246.6107000000006,0.4,12,1347.9664200000004
19648,2619.5053375,0.4,5,1571.7032025
4010,3239.339090909091,0.4,11,2513.4962649692593
8387,2694.6919000000003,0.0,12,2694.6919000000003
9480,2704.7467,0.0,11,2704.7467
1327,2918.084090909092,0.4,3,3419.950628519191
11862,2743.7017,0.2,6,3118.950762556497
17701,2103.6700000000005,0.0,9,2103.6700000000005
15869,2275.4823600000004,0.4,16,1559.605587142973
8378,4175.961636363637,0.2,10,5011.153963636364
17617,3763.38,0.4,11,2920.1146366697926
5510,2649.5568000000007,0.4,8,3286.5581511167793
21446,2597.8225000000007,0.4,12,1558.6935000000003
3483,2566.1658250000005,0.6,16,1355.1751638492226
6068,2729.0629000000004,0.2,16,2299.775327130396
6983,2713.4426000000008,0.0,4,2713.4426000000008
5553,2654.690400000001,0.6,2,4247.504640000002
218,2918.084090909092,0.2,11,2591.154771070358
9195,2718.117100000001,0.4,5,1630.8702600000004
465,2321.8516000000004,0.0,11,2321.8516000000004
17338,2103.6700000000005,0.0,12,2103.6700000000005
13636,2103.6700000000005,0.2,15,2067.91604909667
13236,2723.3929000000003,0.2,16,2294.997230714931
3552,2713.4426000000008,0.2,11,2409.4404244939305
11105,3405.8639090909096,0.0,8,3405.8639090909096
3030,2244.1300750000005,0.0,14,2244.1300750000005
8304,2109.6700000000005,0.2,5,1687.7360000000006
5737,2649.5568000000007,0.6,3,3333.1523133687206
20920,2701.3447,0.4,3,3165.885780252855
20631,2133.6700000000005,0.2,5,1706.9360000000006
5284,2649.5568000000007,0.4,12,1589.7340800000004
15721,2103.6700000000005,0.0,7,2103.6700000000005
2916,2718.9697,0.0,1,2718.9697
18024,3733.351363636364,0.2,3,4054.2637611793375
13252,2723.3929000000003,0.2,9,2939.1838111494994
10713,2636.305750000001,0.2,9,2845.191413896482
19373,2792.2229200000006,0.0,16,2792.2229200000006
5494,2649.5568000000007,0.4,12,1589.7340800000004
2032,2652.199040000001,0.0,14,2652.199040000001
20859,2662.922900000001,0.4,12,1597.7537400000006
12871,3962.634181818183,0.2,15,3895.2880847246515
5412,2649.5568000000007,0.0,12,2649.5568000000007
14449,2649.5568000000007,0.2,9,2859.493155727466
3410,2713.4426000000008,0.0,3,2713.4426000000008
18798,2264.478625,0.4,9,2623.434954336451
50,3068.7421818181824,0.4,9,3555.2406047108143
10252,2828.4731500000003,0.0,6,2828.4731500000003
13038,2718.117100000001,0.0,8,2718.117100000001
4193,3918.337490909092,0.6,13,6040.626651099106
6687,2702.5660000000003,0.0,3,2702.5660000000003
3042,2701.3447,0.4,11,2096.050986517677
3732,2103.6700000000005,0.6,11,1396.6092279257634
17511,2121.6700000000005,0.0,11,2121.6700000000005
7068,2729.0629000000004,0.6,8,3712.5599792271464
5230,2649.5568000000007,0.0,4,2649.5568000000007
5245,2649.5568000000007,0.4,6,3369.6626970830184
6129,2713.4426000000008,0.4,6,3450.7914744356667
6745,2702.5660000000003,0.0,6,2702.5660000000003
14715,3259.3220909090915,0.4,3,3819.87914383186
14580,2309.9248,0.2,2,2771.9097599999996
12764,2581.6389250000007,0.4,4,2199.8811354153495
12318,2581.6389250000007,0.4,3,3025.6104468242092
620,3596.8490909090915,0.2,3,3906.0461726102017
13266,2662.922900000001,0.4,11,2066.2384098986004
7576,2729.0629000000004,0.0,6,2729.0629000000004
18470,3764.595818181818,0.0,10,3764.595818181818
6360,2729.0629000000004,0.2,11,2423.310693886605
17401,2649.5568000000007,0.2,11,2352.7121122101357
8423,2694.6919000000003,0.6,8,3665.818035683246
17789,3175.338181818182,0.6,6,4465.870975600949
